Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
VIM	vimentin	Intermediate filaments Type III	Structural constituent of cytoskeleton (GO:0005200)	undefined	undefined	cytosol; cytoskeleton; filament	cytoskeleton
VIMP	VCP interacting membrane selenoprotein	undefined	undefined	undefined	undefined	nucleus; cytoskeleton; microtubules; endoplasmic reticulum; plasma membrane	cytoskeleton
VIP	vasoactive intestinal peptide	Endogenous ligands	Peptide hormone (GO:0005180)	undefined	undefined	undefined	plasma.membrane
VIPAS39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog	undefined	undefined	undefined	undefined	endosome	endolysosome.system
VIPR1	vasoactive intestinal peptide receptor 1	Vasoactive intestinal peptide receptor family	G-protein coupled receptor activity (GO:0004930)	G protein-coupled receptor	TM, HRM	plasma membrane	plasma.membrane
VIPR2	vasoactive intestinal peptide receptor 2	Vasoactive intestinal peptide receptor family	G-protein coupled receptor activity (GO:0004930)	G protein-coupled receptor	TM, HRM	plasma membrane	plasma.membrane
VIT	vitrin	undefined	Extracellular matrix structural constituent (GO:0005201)	undefined	VWA, LCCL	undefined	undefined
VKORC1	vitamin K epoxide reductase complex subunit 1	undefined	Catalytic activity (GO:0003824)	undefined	TM	nucleus; endoplasmic reticulum	ER.Golgi
VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1	undefined	Molecular function unknown (GO:0005554)	undefined	TM	nucleus; endoplasmic reticulum	ER.Golgi
VLDLR	very low density lipoprotein receptor	Low density lipoprotein receptors	Receptor activity (GO:0004872)	undefined	LDLA, EGFCA, LDLRB, TM, EGF, EGFL	plasma membrane	plasma.membrane
VMA21	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)	undefined	Molecular function unknown (GO:0005554)	undefined	TM	nucleus; endoplasmic reticulum; Golgi; lysosome	endolysosome.system
VMAC	vimentin-type intermediate filament associated coiled-coil protein	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
VMO1	vitelline membrane outer layer 1 homolog (chicken)	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	plasma.membrane
VMP1	vacuole membrane protein 1	undefined	undefined	undefined	undefined	endoplasmic reticulum	ER.Golgi
VN1R1	vomeronasal 1 receptor 1	Vomeronasal receptors	Transmembrane receptor activity (GO:0004888)	G protein-coupled receptor	TM	plasma membrane	plasma.membrane
VN1R2	vomeronasal 1 receptor 2	Vomeronasal receptors	G-protein coupled receptor activity (GO:0004930)	G protein-coupled receptor	TM	plasma membrane	plasma.membrane
VN1R3	vomeronasal 1 receptor 3 (gene/pseudogene)	Vomeronasal receptors	undefined	undefined	undefined	undefined	undefined
VN1R4	vomeronasal 1 receptor 4	Vomeronasal receptors	G-protein coupled receptor activity (GO:0004930)	G protein-coupled receptor	TM	plasma membrane	plasma.membrane
VN1R5	vomeronasal 1 receptor 5 (gene/pseudogene)	Vomeronasal receptors	G-protein coupled receptor activity (GO:0004930)	G protein-coupled receptor	undefined	undefined	undefined
VNN1	vanin 1	Vanins	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	plasma.membrane
VNN2	vanin 2	Vanins	Molecular function unknown (GO:0005554)	undefined	TM	undefined	undefined
VNN3	vanin 3	Vanins	Hydrolase activity (GO:0016787)	undefined	undefined	undefined	undefined
VOPP1	vesicular, overexpressed in cancer, prosurvival protein 1	undefined	Transcription regulator activity (GO:0030528)	membrane protein	TM	endosome	endolysosome.system
VPRBP	Vpr (HIV-1) binding protein	DDB1 and CUL4 associated factors	Molecular function unknown (GO:0005554)	undefined	LISH	nucleus; nucleolus	nucleus
VPREB1	pre-B lymphocyte 1	CD molecules|V-set domain containing	Antigen binding (GO:0003823)	undefined	IGV	undefined	undefined
VPREB3	pre-B lymphocyte 3	V-set domain containing	Antigen binding (GO:0003823)	undefined	IGV	endoplasmic reticulum	ER.Golgi
VPS11	VPS11, CORVET/HOPS core subunit	Ring finger proteins	Transporter activity (GO:0005215)	undefined	RING	endosome	endolysosome.system
VPS13A	vacuolar protein sorting 13 homolog A (S. cerevisiae)	undefined	Transporter activity (GO:0005215)	undefined	undefined	undefined	undefined
VPS13B	vacuolar protein sorting 13 homolog B (yeast)	undefined	Transporter activity (GO:0005215)	undefined	undefined	undefined	undefined
VPS13C	vacuolar protein sorting 13 homolog C (S. cerevisiae)	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	plasma.membrane
VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)	undefined	Transporter activity (GO:0005215)	undefined	UBA	undefined	plasma.membrane
VPS16	VPS16, CORVET/HOPS core subunit	undefined	Transporter activity (GO:0005215)	undefined	undefined	endosome; lysosome	endolysosome.system
VPS18	VPS18 CORVET/HOPS core subunit	undefined	Transporter activity (GO:0005215)	undefined	undefined	endosome; lysosome	endolysosome.system
VPS24	undefined	undefined	Lipid binding (GO:0008289)	undefined	undefined	undefined	undefined
VPS25	vacuolar protein sorting 25 homolog (S. cerevisiae)	ESCRT-II	Transporter activity (GO:0005215)	undefined	undefined	nucleus; nucleolus; cytosol; endosome	endolysosome.system
VPS26A	VPS26 retromer complex component A	undefined	Transporter activity (GO:0005215)	undefined	undefined	cytosol; endosome	endolysosome.system
VPS26B	VPS26 retromer complex component B	undefined	Transporter activity (GO:0005215)	undefined	undefined	cytosol; endosome	endolysosome.system
VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae)	ESCRT-I	Transporter activity (GO:0005215)	undefined	undefined	cytosol; plasma membrane; endosome	endolysosome.system
VPS29	VPS29 retromer complex component	undefined	c("Protein binding (GO:0005515)", "Hydrolase activity (GO:0016787)")	undefined	undefined	cytosol; endosome	endolysosome.system
VPS33A	VPS33A, CORVET/HOPS core subunit	undefined	Transporter activity (GO:0005215)	undefined	undefined	endosome; lysosome	endolysosome.system
VPS33B	vacuolar protein sorting 33 homolog B (yeast)	undefined	Transporter activity (GO:0005215)	undefined	undefined	secretion; endosome; lysosome	endolysosome.system
VPS35	VPS35 retromer complex component	Parkinson disease associated genes	Transporter activity (GO:0005215)	undefined	undefined	cytosol; endosome; lysosome	endolysosome.system
VPS36	vacuolar protein sorting 36 homolog (S. cerevisiae)	ESCRT-II	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol; endosome	endolysosome.system
VPS37A	vacuolar protein sorting 37 homolog A (S. cerevisiae)	ESCRT-I	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; cytoskeleton; microtubules; endosome	endolysosome.system
VPS37B	vacuolar protein sorting 37 homolog B (S. cerevisiae)	ESCRT-I	Protein transporter activity (GO:0008565)	undefined	undefined	plasma membrane; endosome	endolysosome.system
VPS37C	vacuolar protein sorting 37 homolog C (S. cerevisiae)	ESCRT-I	Transporter activity (GO:0005215)	undefined	undefined	endosome	endolysosome.system
VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	ESCRT-I	Molecular function unknown (GO:0005554)	undefined	undefined	endosome	endolysosome.system
VPS39	VPS39 HOPS complex subunit	undefined	Transporter activity (GO:0005215)	undefined	CNH	endosome; lysosome	endolysosome.system
VPS41	VPS41 HOPS complex subunit	undefined	Transporter activity (GO:0005215)	undefined	CLH, RING	cytosol; Golgi; endosome; lysosome	endolysosome.system
VPS45	vacuolar protein sorting 45 homolog (S. cerevisiae)	undefined	Transporter activity (GO:0005215)	undefined	undefined	endosome	endolysosome.system
VPS4A	vacuolar protein sorting 4 homolog A (S. cerevisiae)	AAA ATPases (ATPases associated with diverse cellular activities)|ESCRT-IV	ATPase activity (GO:0016887)	undefined	AAA	nucleus; cytosol; cytoskeleton; microtubules; plasma membrane; endosome; lysosome	endolysosome.system
VPS4B	vacuolar protein sorting 4 homolog B (S. cerevisiae)	AAA ATPases (ATPases associated with diverse cellular activities)|ESCRT-IV	Transporter activity (GO:0005215)	undefined	AAA	nucleus; cytosol; cytoskeleton; microtubules; endosome	endolysosome.system
VPS50	VPS50 EARP/GARPII complex subunit	undefined	undefined	undefined	undefined	undefined	undefined
VPS51	VPS51 GARP complex subunit	undefined	undefined	undefined	undefined	Golgi; endosome	endolysosome.system
VPS52	VPS52 GARP complex subunit	undefined	Transporter activity (GO:0005215)	undefined	TM	Golgi; endosome	endolysosome.system
VPS53	VPS53 GARP complex subunit	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	Golgi; endosome	endolysosome.system
VPS54	VPS54 GARP complex subunit	Protein phosphatase 1 regulatory subunits	Transporter activity (GO:0005215)	undefined	undefined	nucleus; Golgi	ER.Golgi
VPS72	vacuolar protein sorting 72 homolog (S. cerevisiae)	undefined	Transcription factor activity (GO:0003700)	transcription factor	undefined	nucleus	nucleus
VPS8	VPS8, CORVET complex subunit	undefined	Molecular function unknown (GO:0005554)	undefined	RING	undefined	undefined
VPS9D1	VPS9 domain containing 1	VPS9 domain containing	undefined	undefined	undefined	undefined	undefined
VRK1	vaccinia related kinase 1	undefined	Protein serine/threonine kinase activity (GO:0004674)	kinase	S_T_kinase	nucleus; nucleolus; cytosol; Golgi	ER.Golgi
VRK2	vaccinia related kinase 2	undefined	Protein serine/threonine kinase activity (GO:0004674)	kinase	S_T_kinase, TM, S_T_Y_Kinase	nucleus; endoplasmic reticulum; mitochondria	ER.Golgi
VRK3	vaccinia related kinase 3	undefined	Molecular function unknown (GO:0005554)	kinase	S_T_Y_Kinase	nucleus	nucleus
VRTN	vertebrae development associated	undefined	undefined	undefined	undefined	undefined	undefined
VSIG1	V-set and immunoglobulin domain containing 1	V-set domain containing|Immunoglobulin-like domain containing	Molecular function unknown (GO:0005554)	undefined	IGC2, TM, Ig_LIKE	undefined	undefined
VSIG10	V-set and immunoglobulin domain containing 10	I-set domain containing|V-set domain containing|Immunoglobulin-like domain containing	Molecular function unknown (GO:0005554)	undefined	IG, IGC2, TM	undefined	undefined
VSIG10L	V-set and immunoglobulin domain containing 10 like	Immunoglobulin-like domain containing	undefined	undefined	undefined	undefined	undefined
VSIG2	V-set and immunoglobulin domain containing 2	I-set domain containing|V-set domain containing	Antigen binding (GO:0003823)	undefined	IGC2, TM, Ig_LIKE	plasma membrane	plasma.membrane
VSIG4	V-set and immunoglobulin domain containing 4	V-set domain containing|Immunoglobulin-like domain containing	Receptor activity (GO:0004872)	undefined	IGC2, IGV, TM, IG	undefined	plasma.membrane
VSIG8	V-set and immunoglobulin domain containing 8	V-set domain containing	Antigen binding (GO:0003823)	undefined	IGC2, TM, IG	undefined	undefined
VSNL1	visinin like 1	EF-hand domain containing	Calcium ion binding (GO:0005509)	undefined	EF	undefined	undefined
VSTM1	V-set and transmembrane domain containing 1	Immunoglobulin-like domain containing	Receptor activity (GO:0004872)	undefined	TM, IG	undefined	undefined
VSTM2A	V-set and transmembrane domain containing 2A	V-set domain containing	Molecular function unknown (GO:0005554)	undefined	TM, IG	undefined	undefined
VSTM2B	V-set and transmembrane domain containing 2B	V-set domain containing	undefined	undefined	undefined	undefined	undefined
VSTM2L	V-set and transmembrane domain containing 2 like	V-set domain containing	Molecular function unknown (GO:0005554)	undefined	IG	undefined	undefined
VSTM4	V-set and transmembrane domain containing 4	V-set domain containing	undefined	undefined	undefined	undefined	undefined
VSTM5	V-set and transmembrane domain containing 5	V-set domain containing	undefined	undefined	undefined	undefined	undefined
VSX1	visual system homeobox 1	PRD class homeoboxes and pseudogenes	Transcription factor activity (GO:0003700)	transcription factor	HOX	undefined	undefined
VSX2	visual system homeobox 2	PRD class homeoboxes and pseudogenes	Transcription factor activity (GO:0003700)	transcription factor	HOX	nucleus	nucleus
VTA1	vesicle (multivesicular body) trafficking 1	ESCRT-IV	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol; endosome	endolysosome.system
VTCN1	V-set domain containing T cell activation inhibitor 1	V-set domain containing|Immunoglobulin-like domain containing	Receptor binding (GO:0005102)	undefined	IGC, TM, IGV	undefined	undefined
VTI1A	vesicle transport through interaction with t-SNAREs 1A	undefined	Transporter activity (GO:0005215)	undefined	t_SNARE, TM	Golgi; endosome	endolysosome.system
VTI1B	vesicle transport through interaction with t-SNAREs 1B	undefined	Molecular function unknown (GO:0005554)	undefined	t_SNARE, TM	Golgi; endosome; lysosome	endolysosome.system
VTN	vitronectin	Endogenous ligands	Extracellular matrix structural constituent (GO:0005201)	undefined	HX, SOM	plasma membrane; adhesion	plasma.membrane
VWA1	von Willebrand factor A domain containing 1	Fibronectin type III domain containing	Extracellular matrix structural constituent (GO:0005201)	undefined	FN3, VWA	undefined	plasma.membrane
VWA2	von Willebrand factor A domain containing 2	undefined	Extracellular matrix structural constituent (GO:0005201)	undefined	EGF, VWA	undefined	plasma.membrane
VWA3A	von Willebrand factor A domain containing 3A	undefined	Molecular function unknown (GO:0005554)	undefined	VWA	undefined	undefined
VWA3B	von Willebrand factor A domain containing 3B	undefined	Molecular function unknown (GO:0005554)	undefined	VWA	undefined	undefined
VWA5A	von Willebrand factor A domain containing 5A	undefined	Molecular function unknown (GO:0005554)	undefined	VIT, VWA	nucleus	nucleus
VWA5B1	von Willebrand factor A domain containing 5B1	undefined	Molecular function unknown (GO:0005554)	undefined	VWA	undefined	undefined
VWA5B2	von Willebrand factor A domain containing 5B2	undefined	undefined	undefined	undefined	undefined	undefined
VWA7	von Willebrand factor A domain containing 7	undefined	undefined	undefined	undefined	undefined	undefined
VWA8	von Willebrand factor A domain containing 8	undefined	undefined	undefined	undefined	undefined	undefined
VWA9	von Willebrand factor A domain containing 9	undefined	undefined	undefined	undefined	undefined	undefined
VWC2	von Willebrand factor C domain containing 2	undefined	Molecular function unknown (GO:0005554)	undefined	VWC	undefined	undefined
VWC2L	von Willebrand factor C domain containing protein 2-like	undefined	Molecular function unknown (GO:0005554)	undefined	VWC	undefined	undefined
VWCE	von Willebrand factor C and EGF domains	undefined	Molecular function unknown (GO:0005554)	undefined	EGFCA, VWC	undefined	undefined
VWDE	von Willebrand factor D and EGF domains	undefined	undefined	undefined	undefined	undefined	undefined
VWF	von Willebrand factor	Endogenous ligands	Protein binding (GO:0005515)	undefined	VWA, VWD, VWC, CT	endoplasmic reticulum; secretion; endosome	endolysosome.system
WAC	WW domain containing adaptor with coiled-coil	undefined	Pre-mRNA splicing factor activity (GO:0008248)	undefined	WW	nucleus	nucleus
WAPAL	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; chromatin; cytosol; cytoskeleton; microtubules	cytoskeleton
WAPL	WAPL cohesin release factor	undefined	undefined	undefined	undefined	undefined	undefined
WARS	tryptophanyl-tRNA synthetase	Aminoacyl tRNA synthetases, Class I	Ligase activity (GO:0016874)	undefined	undefined	nucleus; cytosol	plasma.membrane
WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	Aminoacyl tRNA synthetases, Class I	c("TRNA ligase activity (GO:0004812)", "Translation regulator activity (GO:0045182)")	undefined	undefined	mitochondria	mitochondria.metabolism
